GEM Mine ID,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Complex Name,GEM Wiki Page (ENG),GEM Wiki Page (Non-ENG),Status,Status Detail,Project Type,Project Phase,Owners,Owner GEM Entity ID,Owners (Non-ENG),Parent Company,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,"Coal Output (Annual, Mst)",Mine Type,Mining Method,Mine Size (Km2),Mine Depth (m),Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Percentage of Met Coal,Percentage of Thermal Coal,Accuracy Rating,Reported Year of Percentage Split,"Total Reserves (Proven and Probable, Mt)",Year of Total Reserves Recorded,"Total Resource (Inferred, Indicated, Measured)",Reserve to Production Ratio (R/P),Opening Year,Closing Year,Reported Life of Mine,Reported Year of Mine Life,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Coal Plant, Steel Plant, Terminal","Coal Plant, Steel Plant, Terminal GEM Wiki",Gas-level Rating,Gas-level Rating Appraisal Year,Reported Coal Mine Methane Emissions (thousand tonnes per year),Year of Reported Coal Mine Methane Emissions,Source ID,Has associated plume data,Has associated CMM mitigation data,GEM Coal Mine Methane Emissions Estimate (MCM/yr),GEM Coal Mine Methane Emissions Estimate (M tonnes/yr),Methane Gas Content (m^3/tonne) (Updated),Methane Emissions Factor (Updated),CMM Emissions (CO2e 20 years),CMM Emissions (CO2e 100 years),ISO Code,opening_year_final,_imputed_flag_year,reserves_initial_EJ
M0799,,Russia,Kaa-Khemsky Coal Mine,Tuvinskaya GRK,Каа-Хемский угольный разрез,,https://www.gem.wiki/Kaa-Khemsky_coal_mine,,Operating,,,,Tuva Mining Company LLC [100%],E100001010623 [100%],,En+ Group,Russia,,0.6,2024,,Surface,Open Pit,,60.0,Estimate,230,Estimate,Bituminous,Thermal,,,,,11.0,,,18.0,1970,,,,,Kaa-Khem,Kyzylsky,Tuva,Eastern Europe,Europe,51.639968,94.639149,Exact,,,,,,,,,,,3.2,0.002,3.5,1.5,0.2,0.1,643,2019,0,
M0799,,Russia,Kaa-Khemsky Coal Mine,Tuvinskaya GRK,Каа-Хемский угольный разрез,,https://www.gem.wiki/Kaa-Khemsky_coal_mine,,Operating,,Expansion,,Tuva Mining Company LLC [100%],E100001010623 [100%],,En+ Group,Russia,0.6,,,,Surface,Open Pit,,60.0,Estimate,230,Estimate,Bituminous,Thermal,,,,,,,,,2024,,,,,Kaa-Khem,Kyzylsky,Tuva,Eastern Europe,Europe,51.639968,94.639149,Exact,,,,,,,,,,,3.2,0.002,3.5,1.5,0.2,0.1,643,2004,0,
M0800,,Russia,Kamyshansky Coal Mine,,разрез Камышанский,,https://www.gem.wiki/Kamyshansky_coal_mine,,Operating,,,,SUEK-Kuzbass JSC [100%],E100001000839 [100%],,Siberian Coal Energy Company JSC,Russia,2.2,1.2,2022,,Surface,Open Pit,,50.0,Estimate,603,Estimate,Subbituminous,Thermal,,,,,127.0,2021,,106.0,2001,,,,,Kotino,Prokopyevsky,Kemerovo,Eastern Europe,Europe,54.223095,87.030258,Exact,,,,,,,,,,,1.4,0.001,0.8,1.5,0.1,0.0,643,2017,0,
M0801,,Russia,Kamyshansky-West Coal Mine,Kamyshansky Zapadny,Камышанский Западный разрез,,https://www.gem.wiki/Kamyshansky_-_West_coal_mine,,Shelved,Construction,New,,Resurs LLC [100%],E100000132119 [100%],,Resurs LLC,Russia,2,,,,Surface,,,60.0,Estimate,,,Bituminous,,,,,,100.0,2020,,50.0,2023,,,,Taldinsky North,Kotino,Prokopyevsk,Kemerovo,Eastern Europe,Europe,54.253994,86.979961,Approximate,,,,,,,,,,,10.5,0.007,3.5,1.5,0.6,0.2,643,2004,0,
M0803,,Russia,Karakansky-South Coal Mine,,Караканский-Южный разрез,,https://www.gem.wiki/Karakansky_South_coal_mine,,Operating,,,,Kuzbasskaya Toplivnaya Company JSC [100%],E100000131758 [100%],,Omega LLC,Russia,3,3.95,2023,,Surface,Open Pit,,50.0,Estimate,597,Estimate,Subbituminous,Thermal,,,,,19.0,2017,,5.0,2000,,,,,Karakan,Belovsky,Kemerovo,Eastern Europe,Europe,54.339847,86.818428,Exact,,,,,,,,,,,4.7,0.003,0.8,1.5,0.3,0.1,643,2018,0,
M0804,,Russia,Karakansky-Zapadny Coal Mine,"KCEC, Karakansky-West, Belovskaya",участок Караканский-Западный,,https://www.gem.wiki/Karakansky-Zapadny_coal_mine,,Operating,,,,Shakhta Belovskaya CJSC [100%],E100001010768 [100%],,Karakan Invest LLC,Russia,,1.8,2023,,Surface,Open Pit,,50.0,Estimate,651,Estimate,Subbituminous,Thermal,,,,,38.0,2020,38.0,21.0,2010,,,,,Karakan,Belovsky,Kemerovo,Eastern Europe,Europe,54.358257,86.746502,Exact,,,,,,,,,,,2.2,0.001,0.8,1.5,0.1,0.0,643,2018,0,
M0804,,Russia,Karakansky-Zapadny Coal Mine,"Karakansky-Globoky, KCEC, Karakansky-West, Belovskaya","Караканский-Западный, Караканский-Глубокий",,https://www.gem.wiki/Karakansky-Zapadny_coal_mine,,Cancelled,Announced,Expansion,Stage 1,Shakhta Belovskaya CJSC [100%],E100001010768 [100%],,Karakan Invest LLC,Russia,1.2,,,,Surface,Open Pit,,60.0,Estimate,670,Estimate,Bituminous,Thermal,,,,,,2020,,,,,,,,Belovo,,Kemerovo,Eastern Europe,Europe,54.358257,86.746502,Exact,,,,,,,,,,,6.3,0.004,3.5,1.5,0.3,0.1,643,2004,1,
M0805,,Russia,Kedrovskiy Coal Mine,,Кедровский разрез,,https://www.gem.wiki/Kedrovskiy_coal_mine,,Operating,,,,Kuzbassrazrezugol JSC [100%],E100001000740 [100%],,Ural Mining and Metallurgical Company OJSC [52.7%]; other unknown/mixed entity types [47.3%],Russia,,2.5,2022,,Surface,Open Pit,,60.0,Estimate,611,Estimate,Bituminous,Thermal,,,,,70.0,2018,,28.0,1954,,,,,Beryozovsky,Kemerovsky,Kemerovo,Eastern Europe,Europe,55.552719,86.097794,Exact,,,,,,,,,,,13.1,0.009,3.5,1.5,0.7,0.3,643,2017,0,
M0807,,Russia,Kharanorsky Coal Mine,,Харанорский разрез,,https://www.gem.wiki/Kharanorsky_coal_mine,,Operating,,,,Razrez Kharanorskiy JSC [100%],E100001000852 [100%],,Siberian Coal Energy Company JSC,Russia,,5.5,2024,,Surface,Open Pit,,50.0,Estimate,700,Exact,Lignite,Thermal,,,,,306.0,2021,,56.0,1970,,,,,Sherlovaya Gora,Borzinskiy,Zabaykalsky,Eastern Europe,Europe,50.565358,116.401863,Exact,Coal Plant,Kharanorskaya power station,https://www.gem.wiki/Kharanorskaya_power_station,,,,,,,,6.6,0.004,0.8,1.5,0.4,0.1,643,2019,0,
M0807,,Russia,Kharanorsky Coal Mine,,Харанорский разрез,,https://www.gem.wiki/Kharanorsky_coal_mine,,Proposed,Construction,New,,Razrez Kharanorskiy JSC [100%],E100001000852 [100%],,Siberian Coal Energy Company JSC,Russia,2.78,,,,Surface,Open Pit,,50.0,Estimate,,,Lignite,Thermal,,,,,,,,,,,,,,Sherlovaya Gora,Borzinskiy,Zabaykalsky,Eastern Europe,Europe,50.565358,116.401863,Exact,Coal Plant,Kharanorskaya power station,https://www.gem.wiki/Kharanorskaya_power_station,,,,,,,,3.3,0.002,0.8,1.5,0.2,0.1,643,2004,1,
