Year,Oil_Discoveries_Fixed,Oil_Cumulative_Discoveries_Fixed,Oil_Production_Fixed,Oil_Reserves_Fixed,Oil_discoveries_backdated,Oil_discoveries_cumulative_backdated,Oil_production_backdated,Oil_production_cumulative_backdated,Oil_reserves_backdated,Oil_Discoveries,Oil_Cumulative_Discoveries,Oil_Production,Oil_Cumulative_Production,Oil_Reserves,Oil_Discoveries_Richards_Fitted,Oil_Discoveries_Raw,Gas_Discoveries_Fixed,Gas_Cumulative_Discoveries_Fixed,Gas_Production_Fixed,Gas_Reserves_Fixed,Gas_Discoveries,Gas_Cumulative_Discoveries,Gas_Production,Gas_Cumulative_Production,Gas_Reserves,Gas_Discoveries_Raw,Coal_Discoveries_Fixed,Coal_Cumulative_Discoveries_Fixed,Coal_Production_Fixed,Coal_Reserves_Fixed,Coal_Discoveries,Coal_Cumulative_Discoveries,Coal_Production,Coal_Cumulative_Production,Coal_Reserves,Coal_Discoveries_Raw
1962,98.19330388698003,8177.381361889177,50.88,8126.501361889177,279.798379846,5785.65279249,53.6434537898,826.02928875,4959.62350374,279.798379846,5785.652792325299,50.88,798.6300000000001,4987.022792325299,5767.039333251801,206.40862041600798,70.43398375415485,5361.563826455455,21.46318056,5340.100645895454,22.704033162488336,300.0589575324516,21.46318056,278.4736886,21.585268932451527,51.94071059665438,184.61994103423956,20784.779465521846,53.75,20731.029465521846,11.2799,805.5334768999999,53.75,2156.33,-1350.7965231,11.279900000000001
1963,96.23052796629952,8273.611889855476,54.59,8219.021889855476,172.95229520799998,5958.605087819999,58.222346187599996,884.25163484,5074.35345298,172.95229520799998,5958.6050875332985,54.59,853.2200000000001,5105.385087533298,5986.162203871628,1040.1535144237507,69.25631154983913,5430.820138005293,23.4846144,5407.335523605293,6.564396349724783,306.62335388217633,23.4846144,301.958303,4.665050882176331,12.307715047006687,175.59162345705406,20960.3710889789,55.38,20904.9910889789,8.024000000000001,813.5574768999999,55.38,2211.71,-1398.1525231,8.024000000000001
1964,94.24434109230874,8367.856230947784,58.96,8308.896230947785,415.854185408,6374.459270299999,62.644454409,946.89608931,5427.563180989999,415.854185408,6374.459272941299,58.96,912.1800000000002,5462.279272941299,6204.845972765137,800.4048071053552,68.05309545701887,5498.873233462312,25.65938304,5473.213850422312,17.685272360381177,324.3086262425575,25.65938304,327.61768604,-3.309059797442501,17.302656955589384,166.77064390672794,21127.14173288563,57.83,21069.311732885628,35.394328,848.9518048999998,57.83,2269.54,-1420.5881951,35.394328
1965,92.23804140273073,8460.094272350514,65.63,8394.464272350515,293.634563448,6668.0938357,66.450149066,1013.34623862,5654.747597080001,293.634563448,6668.093836389299,65.63,977.8100000000002,5690.283836389299,6422.711231953707,862.4340874438706,66.82626509810495,5565.699498560417,27.49854744,5538.200951120417,36.63034472162085,360.9389709641784,27.49854744,355.11623348,5.82273748417839,160.97787533393338,158.1783323412895,21285.32006522692,58.97,21226.350065226918,14.6662,863.6180048999998,58.97,2328.51,-1464.8919950999998,14.6662
1966,90.2149493716514,8550.309221722166,71.27,8479.039221722165,149.123312304,6817.217150199999,72.89789432799999,1086.2441330699999,5730.97301713,149.123312304,6817.217148693299,71.27,1049.0800000000002,5768.137148693299,6639.394004322947,1227.4472277390416,65.57781633675255,5631.277314897169,29.5885368,5601.688778097169,138.51837614941832,499.4573471135967,29.5885368,384.70477028,114.75257683359672,299.7590253916819,149.8329968811051,21435.153062108024,59.79,21375.363062108023,31.6368,895.2548048999998,59.79,2388.3,-1493.0451951,31.6368
1967,88.17839149461902,8638.487613216785,76.46,8562.027613216786,189.863186311,7007.0803334,78.711336092,1164.95546904,5842.12486436,189.863186311,7007.0803350043,76.46,1125.5400000000002,5881.5403350043,6854.547276320548,591.2047012266735,64.3098015492327,5695.5871164464015,31.842486,5663.744630446402,189.3054373780141,688.7627844916108,31.842486,416.54725628,272.2155282116108,149.76735775263884,141.74995768640878,21576.903019794434,57.67,21519.233019794436,16.4488,911.7036048999998,57.67,2445.97,-1534.2663951,16.4488
1968,86.13168416751351,8724.619297384299,83.41,8641.2092973843,321.306930713,7328.3872682,84.607974536,1249.5634432099998,6078.8238249900005,321.306930713,7328.3872657173,83.41,1208.9500000000005,6119.437265717299,7067.842283854881,449.8502145521629,63.024319495486665,5758.611435941888,34.8320628,5723.779373141888,44.49787333008141,733.2606578216921,34.8320628,451.37931908,281.8813387416921,112.8256052206816,133.94162602877492,21710.84464582321,59.27,21651.57464582321,25.6573,937.3609048999998,59.27,2505.24,-1567.8790951,25.6573
1969,84.07811791499803,8808.697415299297,89.79,8718.907415299296,239.058505839,7567.4457741,93.384630441,1342.9480741999998,6224.4976999,239.058505839,7567.445771556299,89.79,1298.7400000000002,6268.705771556299,7278.969555089158,1060.459855275069,61.72350489154244,5820.334940833431,38.2527288,5782.082212033431,102.46508704728969,835.7257448689818,38.2527288,489.63204788,346.0936969889818,284.9300206702006,126.41762192447459,21837.262267747683,60.47,21776.79226774768,22.1634,959.5243048999998,60.47,2565.71,-1606.1856950999995,22.1634
1970,82.0209421163819,8890.718357415679,98.76,8791.958357415679,125.29432946099999,7692.7401035,100.69272025199999,1443.6407943299998,6249.09930917,125.294329461,7692.7401010173,98.76,1397.5000000000002,6295.2401010173,7487.639717176122,238.58803372985736,60.40951778877845,5880.744458622209,35.139222,5845.605236622209,43.80103445416327,879.5267793231451,35.139222,524.77126988,354.7555094431451,53.279461881615546,119.18492342221704,21956.4471911699,62.89,21893.5571911699,63.82399999999999,1023.3483048999998,62.89,2628.5999999999995,-1605.2516950999998,63.824
1971,79.96335036668374,8970.681707782363,104.4,8866.281707782364,288.253825367,7980.993926,106.69336052399998,1550.3341546099998,6430.65977139,288.253825367,7980.9939263843,104.4,1501.9000000000003,6479.093926384299,7693.584076843409,2370.093050767012,59.08453286735969,5939.828991489569,37.5883056,5902.240685889568,48.60984583461357,928.1366251577588,37.5883056,562.35957548,365.7770496777586,415.46830152797827,112.24804064817445,22068.695231818074,62.32,22006.375231818074,28.2325,1051.5808048999995,62.32,2690.92,-1639.3391951,28.2325
