Fuel,Year,D_obs_EJ,D_backdated_EJ,D_added_EJ,D_hat_EJ,Cum_D_hat_EJ,Production,Cum_Prod_EJ,Reserves_hat_EJ,Reserves_EI
Gas,1920,1.42874666,2.2420777792596263,1.5619819527900746e-22,2.2420777792596263,1193.5385232045383,0.0,0.0,1193.5385232045383,2552.0083289636846
Gas,1921,0.0876316,0.13743886541450373,9.956055712613346e-24,0.13743886541450373,1193.6759620699527,0.0,0.0,1193.6759620699527,2552.0083289636846
Gas,1922,1.1317478,1.7739630040447563,8.165500492120142e-23,1.7739630040447563,1195.4499250739975,0.0,0.0,1195.4499250739975,2552.0083289636846
Gas,1923,0.18041580000000002,0.2826233452864955,1.1360404828749516e-23,0.2826233452864955,1195.732548419284,0.0,0.0,1195.732548419284,2552.0083289636846
Gas,1924,0.0438158,0.06859540630441636,3.4349401950474726e-24,0.06859540630441636,1195.8011438255885,0.0,0.0,1195.8011438255885,2552.0083289636846
Gas,1925,2.5089175,3.925305973347132,1.0204533013806033e-22,3.925305973347132,1199.7264497989356,0.0,0.0,1199.7264497989356,2552.0083289636846
Gas,1926,0.08105923,0.12673723788840882,4.464018712239145e-24,0.12673723788840882,1199.853187036824,0.0,0.0,1199.853187036824,2552.0083289636846
Gas,1927,1.7809854999999999,2.782712315845193,7.466759056711578e-23,2.782712315845193,1202.6358993526692,0.0,0.0,1202.6358993526692,2552.0083289636846
Gas,1928,84.4850115,131.91222096993596,2.0436272514946817e-21,131.91222096993596,1334.5481203226052,0.0,0.0,1334.5481203226052,2552.0083289636846
Gas,1929,0.6959820800000001,1.085905096922306,3.1751941735958847e-23,1.085905096922306,1335.6340254195275,0.0,0.0,1335.6340254195275,2552.0083289636846
Gas,1930,1.304927,2.0345071325712154,2.3368660098189978e-23,2.0345071325712154,1337.6685325520987,0.0,0.0,1337.6685325520987,2552.0083289636846
Gas,1931,0.12947580000000003,0.20171177101467294,2.6494619253880485e-24,0.20171177101467294,1337.8702443231134,0.0,0.0,1337.8702443231134,2552.0083289636846
Gas,1932,3.2008606,4.982751198652406,4.265553930260022e-23,4.982751198652406,1342.8529955217657,0.0,0.0,1342.8529955217657,2552.0083289636846
Gas,1933,5.423403483571884,8.435756224020034,6.181801829770073e-23,8.435756224020034,1351.2887517457857,0.0,0.0,1351.2887517457857,2552.0083289636846
Gas,1934,0.0,0.0,6.450862720790511e-25,6.450862720790511e-25,1351.2887517457857,0.0,0.0,1351.2887517457857,2552.0083289636846
Gas,1935,0.13284906000000002,0.20629003525112743,1.3541396972406636e-24,0.20629003525112743,1351.495041781037,0.0,0.0,1351.495041781037,2552.0083289636846
Gas,1936,2.51732943,3.9055046642244347,1.90332320243891e-23,3.9055046642244347,1355.4005464452614,0.0,0.0,1355.4005464452614,2552.0083289636846
Gas,1937,2.64731689,4.103448039753533,2.3678045034330417e-23,4.103448039753533,1359.503994485015,0.0,0.0,1359.503994485015,2552.0083289636846
Gas,1938,98.3810456836496,152.35213572196847,5.613454431937984e-22,152.35213572196847,1511.8561302069834,0.0,0.0,1511.8561302069834,2552.0083289636846
Gas,1939,3.4620477732980275,5.356142371839894,2.240455847603955e-23,5.356142371839894,1517.2122725788233,0.0,0.0,1517.2122725788233,2552.0083289636846
Gas,1940,1.3470760800000001,2.0819993370583654,6.311695035335041e-24,2.0819993370583654,1519.2942719158816,0.0,0.0,1519.2942719158816,2552.0083289636846
Gas,1941,2.22759342,3.439385603016968,8.899057830264091e-24,3.439385603016968,1522.7336575188986,0.0,0.0,1522.7336575188986,2552.0083289636846
Gas,1942,0.27271083,0.4206205432064248,1.1447192150098311e-24,0.4206205432064248,1523.154278062105,0.0,0.0,1523.154278062105,2552.0083289636846
Gas,1943,3.04740868,4.695136294243769,9.69958125510789e-24,4.695136294243769,1527.849414356349,0.0,0.0,1527.849414356349,2552.0083289636846
Gas,1944,4.2742962722235,6.5780529063540625,1.3207828716355741e-23,6.5780529063540625,1534.427467262703,0.0,0.0,1534.427467262703,2552.0083289636846
Gas,1945,43.99026454938769,67.62229950191377,1.0956265707206274e-22,67.62229950191377,1602.0497667646168,0.0,0.0,1602.0497667646168,2552.0083289636846
Gas,1946,2.4910125,3.8246774480734094,6.602702667827451e-24,3.8246774480734094,1605.8744442126902,0.0,0.0,1605.8744442126902,2552.0083289636846
Gas,1947,2.745718915788277,4.2106096685545165,8.428720025909599e-24,4.2106096685545165,1610.0850538812447,0.0,0.0,1610.0850538812447,2552.0083289636846
Gas,1948,147.46313276332262,225.85324037411573,2.646008607889353e-22,225.85324037411573,1835.9382942553605,0.0,0.0,1835.9382942553605,2552.0083289636846
Gas,1949,20.5456466719845,31.426795794520594,3.595408387121358e-23,31.426795794520594,1867.365090049881,0.0,0.0,1867.365090049881,2552.0083289636846
Gas,1950,8.578009159178173,13.103494935734751,1.4032182051424457e-23,13.103494935734751,1880.4685849856157,0.0,0.0,1880.4685849856157,2552.0083289636846
Gas,1951,68.71120062,104.8168053551356,9.301258247246662e-23,104.8168053551356,1985.2853903407513,0.0,0.0,1985.2853903407513,2552.0083289636846
Gas,1952,9.3280597,14.209515550260136,1.2469101499383335e-23,14.209515550260136,1999.4949058910115,0.0,0.0,1999.4949058910115,2552.0083289636846
Gas,1953,8.1182532720475,12.348561669008182,9.390600215750925e-24,12.348561669008182,2011.8434675600197,0.0,0.0,2011.8434675600197,2552.0083289636846
Gas,1954,6.64292953,10.089273598321954,7.166340629164243e-24,10.089273598321954,2021.9327411583417,0.0,0.0,2021.9327411583417,2552.0083289636846
Gas,1955,17.1508465720475,26.008321281966023,1.6958010350904014e-23,26.008321281966023,2047.9410624403079,0.0,0.0,2047.9410624403079,2552.0083289636846
Gas,1956,58.25242409622264,88.19554647977074,5.139344231625852e-23,88.19554647977074,2136.1366089200787,0.0,0.0,2136.1366089200787,2552.0083289636846
Gas,1957,31.586315868091578,47.74371871235731,2.624925195792054e-23,47.74371871235731,2183.880327632436,0.0,0.0,2183.880327632436,2552.0083289636846
Gas,1958,36.7027777673365,55.383302873837486,2.830023982439724e-23,55.383302873837486,2239.263630506274,0.0,0.0,2239.263630506274,2552.0083289636846
Gas,1959,96.89122704100895,145.95008188126934,6.733444056637712e-23,145.95008188126934,2385.213712387543,0.0,0.0,2385.213712387543,2552.0083289636846
Gas,1960,21.48755802069069,32.308998732677665,1.4698611744155168e-23,32.308998732677665,2417.5227111202207,0.0,0.0,2417.5227111202207,2552.0083289636846
Gas,1961,35.73276427966153,53.62847112235121,2.195421356246698e-23,53.62847112235121,2471.151182242572,0.0,0.0,2471.151182242572,2552.0083289636846
Gas,1962,51.94071059665438,77.80438498238544,2.954747309176235e-23,77.80438498238544,2548.955567224957,0.0,0.0,2548.955567224957,2552.0083289636846
Gas,1963,12.307715047006687,18.399889038802268,6.884622622691715e-24,18.399889038802268,2567.3554562637596,0.0,0.0,2567.3554562637596,2552.0083289636846
Gas,1964,17.302656955589384,25.814605830482048,9.464513327126512e-24,25.814605830482048,2593.1700620942415,0.0,0.0,2593.1700620942415,2552.0083289636846
Gas,1965,160.97787533393338,239.66591948428118,7.667576537454432e-23,239.66591948428118,2832.8359815785225,0.0,0.0,2832.8359815785225,2552.0083289636846
Gas,1966,299.7590253916819,445.3190684784953,1.3467534348128982e-22,445.3190684784953,3278.155050057018,0.0,0.0,3278.155050057018,2552.0083289636846
Gas,1967,149.76735775263884,221.99628978109575,6.671728628123014e-23,221.99628978109575,3500.1513398381135,0.0,0.0,3500.1513398381135,2552.0083289636846
Gas,1968,112.8256052206816,166.85351025227342,4.900560453236521e-23,166.85351025227342,3667.0048500903868,0.0,0.0,3667.0048500903868,2552.0083289636846
Gas,1969,284.9300206702006,420.37181591810713,7.484207397757619e-24,420.37181591810713,4087.376666008494,0.0,0.0,4087.376666008494,2552.0083289636846
Gas,1970,53.279461881615546,78.41342599124505,7.341139583986736e-26,78.41342599124505,4165.790091999739,35.139168340261676,35.139168340261676,4130.6509236594775,2552.0083289636846
Gas,1971,415.46830152797827,609.9161299596066,2.9471843419057e-26,609.9161299596066,4775.706221959345,37.588256538023415,72.72742487828509,4702.97879708106,2552.0083289636846
Gas,1972,34.00812047356674,49.794541496359685,2.9489198358971863e-26,49.794541496359685,4825.500763455705,39.43969517646474,112.16712005474983,4713.333643400955,2552.0083289636846
Gas,1973,283.2611110876328,413.63474163210225,2.9468687975436117e-26,413.63474163210225,5239.135505087807,41.33770409548015,153.50482415022998,5085.630680937577,2552.0083289636846
