Fuel,Year,Discoveries,Production,Cumulative_Discoveries,Cumulative_Production,Reserves,EI_Reserves,Delta_vs_EI,NegativeFlag
Oil,1946,34.9747974777,15.68,2103.8686390260996,288.67,1815.1986390260995,,,0
Oil,1947,27.672367234499998,17.27,2131.5410062605997,305.94,1825.6010062605997,,,0
Oil,1948,890.71844675,19.54,3022.2594530106,325.48,2696.7794530106,,,0
Oil,1949,124.52565253999998,19.43,3146.7851055506,344.91,2801.8751055506,,,0
Oil,1950,62.26282626999999,21.8,3209.0479318206,366.71000000000004,2842.3379318206,,,0
Oil,1951,270.958595834,24.72,3480.0065276545997,391.43000000000006,3088.5765276546,,,0
Oil,1952,46.889288929699994,25.99,3526.8958165842996,417.4200000000001,3109.4758165842995,,,0
Oil,1953,234.446444618,27.48,3761.3422612022996,444.9000000000001,3316.4422612022995,,,0
Oil,1954,107.614761498,28.77,3868.9570227002996,473.6700000000001,3395.2870227002995,,,0
Oil,1955,143.742574284,32.24,4012.6995969842997,505.9100000000001,3506.7895969842994,,,0
Oil,1956,169.87758776799998,35.09,4182.577184752299,541.0000000000001,3641.577184752299,,,0
Oil,1957,241.36453647999997,36.97,4423.941721232299,577.9700000000001,3845.9717212322985,,,0
Oil,1958,322.07560757299996,37.9,4746.017328805298,615.8700000000001,4130.1473288052985,,,0
Oil,1959,149.123312304,40.9,4895.1406411092985,656.7700000000001,4238.370641109298,,,0
Oil,1960,327.45634565399996,44.07,5222.596986763298,700.8400000000001,4521.756986763298,,,0
Oil,1961,283.257425716,46.91,5505.854412479299,747.7500000000001,4758.104412479299,,,0
Oil,1962,279.798379846,50.88,5785.652792325299,798.6300000000001,4987.022792325299,,,0
Oil,1963,172.95229520799998,54.59,5958.6050875332985,853.2200000000001,5105.385087533298,,,0
Oil,1964,415.854185408,58.96,6374.459272941299,912.1800000000002,5462.279272941299,,,0
Oil,1965,293.634563448,65.63,6668.093836389299,977.8100000000002,5690.283836389299,,,0
Oil,1966,149.123312304,71.27,6817.217148693299,1049.0800000000002,5768.137148693299,,,0
Oil,1967,189.863186311,76.46,7007.0803350043,1125.5400000000002,5881.5403350043,,,0
Oil,1968,321.306930713,83.41,7328.3872657173,1208.9500000000003,6119.437265717299,,,0
Oil,1969,239.058505839,89.79,7567.445771556299,1298.7400000000002,6268.705771556299,,,0
Oil,1970,125.29432946099999,98.76,7692.7401010173,1397.5000000000002,6295.2401010173,,,0
Oil,1971,288.253825367,104.4,7980.9939263843,1501.9000000000003,6479.093926384299,,,0
Oil,1972,102.618361847,110.34,8083.6122882313,1612.2400000000002,6471.3722882312995,,,0
Oil,1973,233.67776775800002,120.4,8317.2900559893,1732.6400000000003,6584.6500559893,,,0
Oil,1974,172.95229520799998,120.67,8490.242351197301,1853.3100000000004,6636.932351197301,,,0
Oil,1975,176.027002709,114.62,8666.2693539063,1967.9300000000003,6698.3393539063,,,0
Oil,1976,158.731773176,124.53,8825.0011270823,2092.4600000000005,6732.541127082299,,,0
Oil,1977,238.67416740899998,128.88,9063.6752944913,2221.3400000000006,6842.3352944913,,,0
Oil,1978,147.20162015399998,130.05,9210.8769146453,2351.390000000001,6859.486914645298,,,0
Oil,1979,245.59225921,135.55,9456.4691738553,2486.940000000001,6969.529173855299,,,0
Oil,1980,82.248424813,129.42,9538.7175986683,2616.360000000001,6922.357598668299,,,0
Oil,1981,149.89198922499997,121.96,9688.6095878933,2738.320000000001,6950.289587893298,,,0
Oil,1982,160.653465326,117.14,9849.2630532193,2855.460000000001,6993.803053219299,,,0
Oil,1983,79.55805580299999,115.64,9928.8211090223,2971.100000000001,6957.721109022299,,,0
Oil,1984,153.735373525,117.91,10082.5564825473,3089.0100000000007,6993.546482547299,,,0
Oil,1985,180.63906393,116.88,10263.1955464773,3205.890000000001,7057.305546477299,,,0
Oil,1986,115.301530159,122.65,10378.4970766363,3328.540000000001,7049.9570766362995,,,0
Oil,1987,93.778577835,122.93,10472.275654471301,3451.4700000000007,7020.8056544713,,,0
Oil,1988,83.78577859399999,128.19,10556.0614330653,3579.6600000000008,6976.4014330653,,,0
Oil,1989,110.68946893799999,129.73,10666.750902003301,3709.390000000001,6957.3609020033,,,0
Oil,1990,103.00270027699999,132.22,10769.753602280301,3841.6100000000006,6928.143602280301,,,0
Oil,1991,67.643564351,131.86,10837.397166631301,3973.4700000000007,6863.9271666313,,,0
Oil,1992,105.69306928699999,133.77,10943.0902359183,4107.240000000001,6835.850235918299,,,0
Oil,1993,71.10261028199999,133.58,11014.1928462003,4240.820000000001,6773.372846200299,,,0
Oil,1994,62.26282626999999,135.43,11076.4556724703,4376.250000000001,6700.205672470299,,,0
Oil,1995,68.412241211,137.29,11144.867913681299,4513.540000000001,6631.327913681298,,,0
Oil,1996,72.255625572,140.94,11217.123539253298,4654.4800000000005,6562.643539253298,,,0
Oil,1997,69.565256501,144.08,11286.688795754299,4798.56,6488.128795754298,,,0
Oil,1998,88.397839754,147.72,11375.086635508298,4946.280000000001,6428.806635508297,,,0
Oil,1999,153.735373525,144.38,11528.822009033298,5090.660000000001,6438.162009033297,,,0
Oil,2000,213.69216921499998,150.64,11742.514178248299,5241.300000000001,6501.214178248298,,,0
Oil,2001,121.4509451,150.63,11863.965123348298,5391.930000000001,6472.035123348297,,,0
Oil,2002,81.479747953,148.81,11945.444871301299,5540.740000000002,6404.704871301297,,,0
Oil,2003,49.195319534099994,155.42,11994.640190835398,5696.160000000002,6298.480190835397,,,0
Oil,2004,63.03150313,163.21,12057.671693965398,5859.370000000002,6198.301693965396,,,0
Oil,2005,55.7290729051,164.6,12113.400766870498,6023.970000000002,6089.430766870496,,,0
Oil,2006,139.51485149299998,166.07,12252.915618363499,6190.040000000002,6062.875618363497,,,0
Oil,2007,103.00270027699999,165.73,12355.918318640499,6355.770000000001,6000.148318640498,,,0
Oil,2008,182.94509451,167.49,12538.863413150499,6523.260000000001,6015.6034131504975,,,0
Oil,2009,114.14851486899998,163.32,12653.0119280195,6686.580000000001,5966.431928019499,,,0
Oil,2010,155.272727245,166.55,12808.284655264499,6853.130000000001,5955.154655264498,,,0
Oil,2011,89.935193535,167.84,12898.2198487995,7020.970000000001,5877.249848799498,,,0
Oil,2012,67.259225921,172.52,12965.479074720499,7193.490000000002,5771.989074720497,,,0
Oil,2013,61.49414941,172.75,13026.9732241305,7366.240000000002,5660.733224130498,,,0
Oil,2014,44.5832583253,176.81,13071.556482455799,7543.050000000002,5528.506482455797,,,0
Oil,2015,27.672367234499998,182.74,13099.228849690298,7725.790000000002,5373.438849690297,,,0
Oil,2016,27.672367234499998,183.26,13126.901216924798,7909.050000000002,5217.851216924796,,,0
Oil,2017,38.049504948199996,183.59,13164.950721872998,8092.640000000002,5072.310721872996,,,0
Oil,2018,33.8217821755,187.89,13198.772504048498,8280.530000000002,4918.242504048496,,,0
Oil,2019,18.44823,187.53,13217.220734048498,8468.060000000003,4749.160734048495,,,0
Oil,2020,76.25,174.82,13293.470734048498,8642.880000000003,4650.5907340484955,,,0
Oil,2021,28.669999999999998,177.09,13322.140734048498,8819.970000000003,4502.170734048495,,,0
Oil,2022,122.0,184.52,13444.140734048498,9004.490000000003,4439.650734048495,,,0
Oil,2023,18.299999999999997,0.0,13462.440734048498,9004.490000000003,4457.950734048494,,,0
Oil,2024,18.299999999999997,0.0,13480.740734048497,9004.490000000003,4476.2507340484935,,,0
Gas,1869,1.2339,0.0,1.2339,0.0,1.2339,,,0
Gas,1887,0.25516,0.0,1.48906,0.0,1.48906,,,0
Gas,1889,0.25516,0.0,1.74422,0.0,1.74422,,,0
Gas,1890,0.12758,0.0,1.8718000000000001,0.0,1.8718000000000001,,,0
Gas,1899,0.12758,0.0,1.9993800000000002,0.0,1.9993800000000002,,,0
Gas,1900,0.0,0.265825512,1.9993800000000002,0.265825512,1.7335544880000002,,,0
Gas,1901,0.51032,0.29458103,2.5097,0.560406542,1.949293458,,,0
Gas,1902,0.12758,0.323336534,2.63728,0.883743076,1.753536924,,,0
Gas,1903,0.0,0.352092042,2.63728,1.235835118,1.401444882,,,0
Gas,1904,0.0,0.380847546,2.63728,1.616682664,1.020597336,,,0
Gas,1905,0.12758,0.40960305,2.76486,2.026285714,0.738574286,,,0
Gas,1906,0.12758,0.438358558,2.89244,2.464644272,0.427795728,,,0
Gas,1907,0.0,0.46711404,2.89244,2.9317583120000004,-0.039318312000000244,,,1
Gas,1908,0.12758,0.49586958,3.02002,3.4276278920000003,-0.40760789200000014,,,1
Gas,1909,0.0,0.524625084,3.02002,3.9522529760000005,-0.9322329760000003,,,1
Gas,1910,0.0,0.5673204,3.02002,4.519573376,-1.4995533760000002,,,1
Gas,1911,0.09139010450373455,0.597475188,3.111410104503735,5.117048564,-2.0056384594962653,,,1
Gas,1912,5.1854612970724725,0.627629976,8.296871401576208,5.74467854,2.5521928615762084,,,0
Gas,1913,0.3467042732937802,0.657784764,8.643575674869988,6.402463303999999,2.2411123708699883,,,0
Gas,1914,1.4782071976788553,0.687939516,10.121782872548843,7.0904028199999996,3.031380052548844,,,0
Gas,1915,1.4172804613430323,0.718094304,11.539063333891876,7.808497124,3.730566209891877,,,0
Gas,1916,6.92247824242885,0.748249128,18.461541576320727,8.556746252,9.904795324320727,,,0
Gas,1917,0.03046336816791152,0.778403916,18.492004944488638,9.335150168,9.156854776488638,,,0
Gas,1918,0.4218301045037346,0.808558704,18.91383504899237,10.143708872,8.770126176992372,,,0
Gas,1919,0.09139010450373455,0.838713492,19.005225153496106,10.982422364,8.022802789496106,,,0
Gas,1920,2.098694530195201,0.86886828,21.103919683691306,11.851290643999999,9.252629039691307,,,0
Gas,1921,0.06894036073624413,0.899023032,21.17286004442755,12.750313676,8.422546368427552,,,0
Gas,1922,1.1533028942868129,0.95971014,22.326162938714365,13.710023816,8.616139122714365,,,0
Gas,1923,0.034470180368122064,1.124447292,22.360633119082486,14.834471107999999,7.526162011082487,,,0
Gas,1924,0.034470180368122064,1.289184408,22.395103299450607,16.123655516,6.271447783450608,,,0
Gas,1925,3.8574090561919725,1.45392156,26.25251235564258,17.577577076,8.674935279642579,,,0
Gas,1926,0.1040003636020387,1.61865864,26.35651271924462,19.196235716,7.1602770032446195,,,0
Gas,1927,2.8661563422732814,1.783395828,29.2226690615179,20.979631544,8.243037517517902,,,0
Gas,1928,2.2196054320358116,1.94813316,31.442274493553715,22.927764704,8.514509789553713,,,0
Gas,1929,0.5789309018406104,2.0685816,32.021205395394325,24.996346304,7.024859091394326,,,0
Gas,1930,0.823255608937817,2.168638344,32.84446100433214,27.164984648,5.679476356332138,,,0
Gas,1931,0.0513751217875634,2.2716864,32.895836126119704,29.436671048,3.459165078119703,,,0
Gas,1932,5.385685039176529,2.374734384,38.28152116529623,31.811405432,6.4701157332962325,,,0
Gas,1933,0.12758,2.47778244,38.409101165296235,34.289187872,4.119913293296236,,,0
Gas,1934,0.0,2.580830424,38.409101165296235,36.870018296,1.5390828692962373,,,0
Gas,1935,0.1395501566185023,2.68387848,38.54865132191474,39.553896775999995,-1.0052454540852551,,,1
Gas,1936,6.512332468802907,2.786926464,45.06098379071765,42.34082323999999,2.720160550717658,,,0
Gas,1937,6.659247334765565,2.9898774,51.72023112548322,45.33070063999999,6.3895304854832276,,,0
Gas,1938,3.9820934938887715,3.17501388,55.702324619371986,48.50571451999999,7.196610099371995,,,0
Gas,1939,0.2303302435751268,3.40309836,55.93265486294711,51.90881287999999,4.023841982947118,,,0
Gas,1940,0.738043308989957,3.63118284,56.67069817193707,55.53999571999999,1.1307024519370756,,,0
Gas,1941,2.278425138808913,3.85926732,58.94912331074598,59.399263039999994,-0.4501397292540119,,,1
Gas,1942,0.1439840102827193,4.0873518,59.093107321028704,63.486614839999994,-4.39350751897129,,,1
Gas,1943,5.969118389687322,4.31543628,65.06222571071602,67.80205111999999,-2.7398254092839665,,,1
Gas,1944,6.735831962792062,4.54352076,71.79805767350808,72.34557188,-0.5475142064919112,,,1
Gas,1945,0.33489574399989536,4.77160524,72.13295341750798,77.11717712,-4.984223702492017,,,1
Gas,1946,1.0051095738668367,5.02698996,73.13806299137481,82.14416707999999,-9.006104088625179,,,1
Gas,1947,4.858819242235839,5.56156044,77.99688223361065,87.70572751999998,-9.708845286389334,,,1
Gas,1948,1.18081911298284,6.28766532,79.1777013465935,93.99339283999998,-14.81569149340649,,,1
Gas,1949,29.54809829408369,6.71871312,108.72579964067718,100.71210595999999,8.013693680677193,,,0
Gas,1950,8.050022814691655,7.69188168,116.77582245536884,108.40398763999998,8.371834815368857,,,0
Gas,1951,37.10893852834135,9.12423348,153.88476098371018,117.52822111999998,36.356539863710196,,,0
Gas,1952,14.77657157131184,9.82665612,168.66133255502203,127.35487723999998,41.30645531502205,,,0
Gas,1953,4.2592914490273435,10.390842,172.92062400404936,137.74571923999997,35.17490476404939,,,0
Gas,1954,2.5105858692659,10.89935316,175.43120987331525,148.64507239999998,26.78613747331528,,,0
Gas,1955,1.9874216296354748,11.8568268,177.41863150295072,160.50189919999997,16.91673230295075,,,0
Gas,1956,25.63770072915908,12.85829928,203.0563322321098,173.36019847999998,29.69613375210983,,,0
Gas,1957,20.42659883875073,13.97057688,223.48293107086053,187.33077536,36.15215571086054,,,0
Gas,1958,8.48342822657129,15.0265692,231.9663592974318,202.35734456,29.609014737431806,,,0
Gas,1959,10.44847965165788,16.7748336,242.4148389490897,219.13217816,23.282660789089704,,,0
Gas,1960,26.20037440559526,18.26036532,268.61521335468495,237.39254348,31.222669874684954,,,0
