Year,Oil_Discoveries_Cumulative_Backdated,Oil_Discoveries,Gas_Discoveries,Coal_Discoveries,Oil_Production,Oil_Reserves,Gas_Production,Gas_Reserves,Coal_Production,Coal_Reserves
1917,201.393391488,31.5457183078036,51.32586133386396,56.63843093982848,30.51,1.0357183078035987,9.335150168,41.990711165863964,479.53999999999996,-422.9015690601715
1918,211.00185235999996,35.07406926838921,51.84820603929051,58.87694002810333,33.36,1.7140692683892098,10.143708872,41.70449716729051,511.72999999999996,-452.85305997189664
1919,227.91274346299997,36.92758247744768,52.05459525087616,61.13386753929343,36.61,0.3175824774476794,10.982422364,41.07217288687616,539.03,-477.89613246070655
1920,248.66701886599998,37.23502923823087,54.296673030135786,70.37655302158811,40.769999999999996,-3.5349707617691237,11.851290643999999,42.44538238613579,570.3199999999999,-499.9434469784118
1921,263.271879328,38.56584331230832,54.43411189555029,73.30395900995717,45.269999999999996,-6.704156687691679,12.750313676,41.68379821955029,596.4499999999999,-523.1460409900428
1922,279.029755141,42.55681364585981,56.20807489959505,77.43768481639728,50.3,-7.743186354140185,13.710023816,42.498051083595044,624.03,-546.5923151836028
1923,300.552707404,43.221721738365936,56.49069824488154,82.75696997113515,56.239999999999995,-13.018278261634059,14.834471107999999,41.65622713688154,656.15,-573.3930300288648
1924,311.314183566,43.88636760431035,56.55929365118596,90.86468504555516,62.169999999999995,-18.283632395689644,16.123655516,40.43563813518596,687.43,-596.5653149544448
1925,331.29978217,47.20824136022845,60.48459962453309,100.26537766385714,68.39,-21.18175863977155,17.577577076,42.90702254853309,718.79,-618.5246223361428
1926,434.30248244699993,47.23631272815906,60.611336862421496,121.3829590915015,74.77,-27.53368727184094,19.196235716,41.41510114642149,750.01,-628.6270409084984
1927,570.358288009,49.52069173459927,63.39404917826669,137.54152063972668,82.05,-32.52930826540073,20.979631544,42.41441763426669,783.65,-646.1084793602733
1928,781.7444264,53.45385663387464,195.30627014820263,158.713578973518,89.7,-36.24614336612536,22.927764704,172.37850544420263,816.6899999999999,-657.976421026482
1929,820.1782700099999,59.361151403248016,196.39217524512495,185.727137967531,98.27000000000001,-38.908848596751994,24.996346304,171.39582894112493,851.8299999999999,-666.1028620324689
1930,941.6292151099999,66.09578048756802,198.42668237769615,228.9330053281771,106.45000000000002,-40.354219512431996,27.164984648,171.26169772969615,883.9399999999999,-655.0069946718229
1931,959.6931213199998,67.45778924298136,198.62839414871087,273.54652955875645,114.36000000000001,-46.90221075701865,29.436671048,169.19172310071087,912.26,-638.7134704412435
1932,994.2835806299998,74.32208437281899,203.61114534736328,331.2871536922311,121.91000000000001,-47.58791562718102,31.811405432,171.79973991536326,937.4399999999999,-606.1528463077689
1933,1010.42579469,76.69979563782438,212.0469015713833,405.36339881766514,130.15,-53.450204362175626,34.289187872,177.75771369938332,963.8,-558.4366011823348
1934,1036.56080854,77.6818625185061,212.0469015713833,492.7523596068439,138.85,-61.1681374814939,36.870018296,175.17688327538332,992.5699999999999,-499.817640393156
1935,1061.15846806,79.76614176026902,212.25319160663443,617.7410579873073,148.31,-68.54385823973098,39.553896775999995,172.69929483063444,1022.5699999999999,-404.82894201269266
1936,1184.91544374,95.25505560701475,216.15869627085883,750.2186792452717,158.61,-63.35494439298526,42.34082323999999,173.81787303085883,1055.53,-305.3113207547283
1937,1250.25297745,103.965642417068,220.2621443106124,910.1600306061858,170.34,-66.374357582932,45.33070063999999,174.9314436706124,1090.16,-179.99996939381424
1938,1561.5671088,281.17398863704904,372.6142800325808,1107.7455423550723,181.79,99.38398863704904,48.50571451999999,324.1085655125808,1122.47,-14.724457644927725
1939,1588.4707995099998,283.2734309875653,377.97042240442073,1342.8190043754566,193.72,89.55343098756529,51.90881287999999,326.06160952442076,1156.6000000000001,186.2190043754565
1940,1735.67241942,465.5171634868996,380.0524217414791,1633.5094253570128,206.03,259.4871634868996,55.53999571999999,324.51242602147914,1194.2400000000002,439.26942535701255
1941,1814.07745975,481.9168829325461,383.49180734449607,1966.3746446586897,218.71,263.20688293254614,59.399263039999994,324.0925443044961,1233.2600000000002,733.1146446586895
1942,1917.84883707,487.27757341432135,383.9124278877025,2355.0597403293173,230.65,256.6275734143213,63.486614839999994,320.4258130477025,1272.9500000000003,1082.109740329317
1943,1936.29708171,500.18144921986726,388.6075641819463,2830.322976484308,243.5,256.68144921986726,67.80205111999999,320.80551306194633,1313.7400000000002,1516.582976484308
1944,1988.5671088000001,514.4411442421303,395.1856170883003,3375.170824941179,258.25,256.19114424213035,72.34557188,322.84004520830035,1352.9000000000003,2022.2708249411787
1945,2068.89384128,527.7254100526497,462.80791659021406,3981.975173695741,272.99,254.73541005264974,77.11717712,385.69073947021406,1384.3200000000004,2597.655173695741
1946,2103.86863902,540.39978089222,466.6325940382875,4676.90507885003,288.67,251.72978089221994,82.14416707999999,384.4884269582875,1418.1500000000003,3258.7550788500293
1947,2131.54100598,765.8038578507692,470.843203706842,5478.829792832211,305.94,459.8638578507692,87.70572751999998,383.13747618684204,1456.1600000000003,4022.6697928322105
1948,3022.25945273,972.2934055040844,696.6964440809577,6383.740461595913,325.48,646.8134055040844,93.99339283999998,602.7030512409577,1495.4400000000003,4888.300461595913
1949,3146.7851052699993,1125.8877737699472,728.1232398754782,7406.1522652219,344.91,780.9777737699471,100.71210595999999,627.4111339154782,1532.7900000000002,5873.3622652219
1950,3209.04793154,1132.5817091430154,741.226734811213,8714.405297641504,366.71000000000004,765.8717091430153,108.40398763999998,632.822747171213,1573.5900000000001,7140.815297641504
