Year,Oil_Discoveries,Oil_Cumulative_Discoveries,Oil_Production,Oil_Cumulative_Production,Oil_Reserves,Gas_Discoveries,Gas_Cumulative_Discoveries,Gas_Production,Gas_Cumulative_Production,Gas_Reserves,Coal_Discoveries,Coal_Cumulative_Discoveries,Coal_Production,Coal_Cumulative_Production,Coal_Reserves
1982,193.70971139707277,12988.60620586123,118.70682020599999,2933.7072495114003,10054.898956349829,,,,,,,,,,
1983,114.27412462133937,13102.880330482569,118.00408379699998,3051.7113333084003,10051.168997174169,,,,,,,,,,
1984,186.34282316229655,13289.223153644865,119.77337281499999,3171.4847061234004,10117.738447521464,,,,,,,,,,
1985,209.27552367532752,13498.498677320193,119.25396104799998,3290.7386671714003,10207.760010148791,,,,,,,,,,
1986,142.82582744099673,13641.324504761189,123.816405052,3414.5550722234,10226.769432537789,,,,,,,,,,
1987,121.17180774061472,13762.496312501804,125.644146771,3540.1992189944003,10222.297093507404,,,,,,,,,,
1988,111.56998795719473,13874.066300458999,129.133678184,3669.3328971784003,10204.7334032806,,,,,,,,,,
1989,137.45618270246206,14011.522483161461,131.567113913,3800.9000110914003,10210.622472070061,,,,,,,,,,
1990,129.00977858085557,14140.532261742317,132.886609488,3933.7866205794003,10206.745641162917,,,,,,,,,,
1991,94.67255309145972,14235.204814833776,133.08041027,4066.8670308494,10168.337783984376,,,,,,,,,,
1992,131.8795036386835,14367.08431847246,132.85603537299997,4199.7230662224,10167.361252250059,,,,,,,,,,
1993,98.150178851355,14465.234497323814,133.079096452,4332.8021626744,10132.432334649413,,,,,,,,,,
1994,90.81192341765328,14556.046420741468,134.704873759,4467.507036433401,10088.539384308067,,,,,,,,,,
1995,98.3915827148597,14654.438003456327,137.18370416300002,4604.6907405964,10049.747262859928,,,,,,,,,,
1996,103.71407126753707,14758.152074723865,140.63598446199998,4745.3267250584,10012.825349665465,,,,,,,,,,
1997,102.91842824611935,14861.070502969984,144.82215984799998,4890.148884906401,9970.921618063583,,,,,,,,,,
1998,122.95776948346986,14984.028272453454,146.765416657,5036.914301563401,9947.113970890052,,,,,,,,,,
1999,186.14191157016006,15170.170184023613,145.451307687,5182.365609250401,9987.804574773212,,,,,,,,,,
2000,240.27050959471188,15410.440693618324,149.646086696,5332.0116959464,10078.428997671923,,,,,,,,,,
2001,146.19680036458797,15556.637493982913,149.245165416,5481.256861362401,10075.380632620512,,,,,,,,,,
2002,106.2502884973358,15662.88778248025,147.51979963099998,5628.776660993401,10034.111121486849,,,,,,,,,,
2003,75.76347319935829,15738.651255679608,151.001731542,5779.778392535401,9958.872863144206,,,,,,,,,,
2004,90.9653782423546,15829.616633921962,155.53539769799997,5935.3137902334,9894.302843688562,,,,,,,,,,
2005,85.67636402250619,15915.292997944467,159.80996129099998,6095.1237515244,9820.169246420068,,,,,,,,,,
2006,167.2511614017688,16082.544159346236,159.328407954,6254.4521594784,9828.091999867836,,,,,,,,,,
2007,130.127078279559,16212.671237625795,160.843408956,6415.2955684344,9797.375669191395,,,,,,,,,,
2008,204.9675390826931,16417.63877670849,160.90412683099999,6576.1996952654,9841.439081443088,,,,,,,,,,
2009,133.9122219348199,16551.55099864331,158.612591193,6734.8122864584,9816.73871218491,,,,,,,,,,
2010,170.11538162812735,16721.666380271436,160.900640864,6895.7129273224,9825.953452949036,,,,,,,,,,
2011,102.54331888075771,16824.209699152194,161.418537391,7057.1314647134,9767.078234438794,,,,,,,,,,
2012,78.4696933559311,16902.679392508126,163.738316944,7220.8697816574,9681.809610850725,,,,,,,,,,
2013,71.36927392388543,16974.048666432012,163.709876975,7384.5796586324,9589.469007799613,,,,,,,,,,
2014,53.807193003446564,17027.855859435458,167.044070485,7551.6237291174,9476.232130318058,,,,,,,,,,
2015,37.05334344856322,17064.90920288402,172.423150586,7724.0468797034,9340.86232318062,,,,,,,,,,
2016,37.238866102270784,17102.14806898629,172.114469663,7896.1613493664,9205.98671961989,,,,,,,,,,
2017,47.26674228512475,17149.414811271417,172.73861379399997,8068.8999631604,9080.514848111017,,,,,,,,,,
2018,42.857998623426155,17192.272809894843,175.614622823,8244.514585983401,8947.758223911442,,,,,,,,,,
2019,28.11271582858946,17220.38552572343,175.47632118299998,8419.9909071664,8800.394618557031,,,,,,,,,,
2020,83.49047872164725,17303.87600444508,178.73033424657513,8598.721241412975,8705.154763032104,,,,,,,,,,
2021,35.65315232709716,17339.529156772176,180.329628904109,8779.050870317084,8560.478286455093,,,,,,,,,,
2022,123.56680012112419,17463.0959568933,181.9289235616444,8960.979793878729,8502.11616301457,,,,,,,,,,
2023,19.148532698701366,17482.244489592,188.0289235616442,9149.008717440372,8333.23577215163,,,,,,,,,,
2024,18.299999999999997,17500.544489592,194.1289235616442,9343.137641002017,8157.406848589984,,,,,,,,,,
