Fuel,Year,Discoveries,Cumulative_Discoveries,Production,Cumulative_Production,Reserves
Coal,1994,55.228089999999995,3108.3505776161805,91.34,4550.009999999999,-1441.6594223838188
Coal,1995,57.43795000000001,3165.7885276161805,94.13,4644.139999999999,-1478.3514723838189
Coal,1996,76.77314,3242.5616676161803,95.4,4739.539999999999,-1496.9783323838187
Coal,1997,88.99849,3331.5601576161803,96.8,4836.339999999999,-1504.779842383819
Coal,1998,92.87528,3424.4354376161805,95.06,4931.4,-1506.9645623838192
Coal,1999,106.74589999999999,3531.1813376161804,95.09,5026.49,-1495.3086623838194
Coal,2000,129.820097,3661.00143461618,96.49,5122.98,-1461.9785653838194
Coal,2001,175.92602,3836.92745461618,100.58,5223.5599999999995,-1386.6325453838194
Coal,2002,156.83774,3993.76519461618,101.79,5325.349999999999,-1331.5848053838195
Coal,2003,134.52209858732877,4128.287293203509,109.26,5434.61,-1306.3227067964908
Coal,2004,184.73467725,4313.021970453508,118.7,5553.3099999999995,-1240.288029546491
Coal,2005,194.28209600000002,4507.304066453508,126.17,5679.48,-1172.1759335464913
Coal,2006,280.407649,4787.711715453508,132.54,5812.0199999999995,-1024.3082845464914
Coal,2007,236.462465,5024.174180453508,138.39,5950.41,-926.2358195464922
Coal,2008,363.73088522303084,5387.9050656765385,142.94,6093.349999999999,-705.444934323461
Coal,2009,378.95337,5766.858435676539,142.73,6236.079999999999,-469.22156432346037
Coal,2010,484.129227,6250.987662676539,150.39,6386.469999999999,-135.48233732346034
Coal,2011,637.3088155436643,6888.296478220203,161.06,6547.53,340.7664782202037
Coal,2012,366.62359375,7254.920071970203,162.75,6710.28,544.6400719702033
Coal,2013,281.657962,7536.578033970203,165.37,6875.65,660.9280339702036
Coal,2014,230.19779,7766.775823970203,164.96,7040.61,726.1658239702037
Coal,2015,243.042114,8009.817937970203,160.37,7200.98,808.8379379702037
Coal,2016,472.76577299999997,8482.583710970202,151.58,7352.5599999999995,1130.023710970203
Coal,2017,467.66729458732874,8950.251005557531,155.01,7507.57,1442.6810055575315
Coal,2018,728.9265756201308,9679.177581177662,162.3,7669.87,2009.3075811776625
Coal,2019,486.2395803809931,10165.417161558655,163.95,7833.82,2331.597161558655
Coal,2020,409.46155694920594,10574.87871850786,156.22,7990.04,2584.83871850786
Coal,2021,561.6865555873287,11136.565274095188,162.5,8152.54,2984.0252740951883
Coal,2022,314.55453114219796,11451.119805237386,174.56,8327.1,3124.0198052373853
Coal,2023,560.99576,12012.115565237385,0.0,8327.1,3685.015565237385
Coal,2024,534.381875,12546.497440237385,0.0,8327.1,4219.397440237384
Coal,2025,387.70667138270545,12934.20411162009,0.0,8327.1,4607.10411162009
Coal,2026,189.8382324657534,13124.042344085845,0.0,8327.1,4796.9423440858445
Coal,2027,114.12432203965852,13238.166666125504,0.0,8327.1,4911.066666125504
Coal,2028,71.612,13309.778666125503,0.0,8327.1,4982.678666125503
Coal,2029,21.2051,13330.983766125502,0.0,8327.1,5003.883766125502
Coal,2030,17.2601,13348.243866125502,0.0,8327.1,5021.1438661255015
Coal,2031,0.022125000000000002,13348.265991125501,0.0,8327.1,5021.165991125501
Coal,2032,8.651201910786996,13356.917193036288,0.0,8327.1,5029.817193036288
Coal,2033,3605.356154396162,16962.27334743245,0.0,8327.1,8635.173347432448
Coal,2034,8.047,16970.320347432447,0.0,8327.1,8643.220347432447
Coal,2035,2.08,16972.40034743245,0.0,8327.1,8645.300347432449
Coal,2038,3.8639999999999994,16976.26434743245,0.0,8327.1,8649.16434743245
Coal,2039,1.481,16977.74534743245,0.0,8327.1,8650.64534743245
Coal,2043,1.1394682970578864,16978.884815729507,0.0,8327.1,8651.784815729507
