Year,Oil_Discoveries,Oil_Cumulative_Discoveries,Oil_Production,Oil_Cumulative_Production,Oil_Reserves,Gas_Discoveries,Gas_Cumulative_Discoveries,Gas_Production,Gas_Cumulative_Production,Gas_Reserves,Coal_Discoveries,Coal_Cumulative_Discoveries,Coal_Production,Coal_Cumulative_Production,Coal_Reserves
1935,24.597659763999996,1061.1584680233998,9.46,148.31,912.8484680233998,0.1395501566185023,38.54865132191474,2.68387848,39.553896775999995,-1.0052454540852551,18.148,120.89236290000001,30.0,1022.5699999999999,-901.6776371
1936,123.75697567999998,1184.9154437034,10.3,158.61,1026.3054437033998,6.512332468802907,45.06098379071765,2.786926464,42.34082323999999,2.720160550717658,1.3461999999999998,122.2385629,32.96,1055.53,-933.2914370999999
1937,65.337533771,1250.2529774743998,11.73,170.34,1079.9129774744,6.659247334765565,51.72023112548322,2.9898774,45.33070063999999,6.3895304854832276,0.11040000000000001,122.3489629,34.63,1090.16,-967.8110371
1938,311.31413141099995,1561.5671088853996,11.45,181.79,1379.7771088853997,3.9820934938887715,55.702324619371986,3.17501388,48.50571451999999,7.196610099371995,4.122,126.4709629,32.31,1122.47,-995.9990371
1939,26.903690368399996,1588.4707992537997,11.93,193.72,1394.7507992537996,0.2303302435751268,55.93265486294711,3.40309836,51.90881287999999,4.023841982947118,2.5208,128.9917629,34.13,1156.6000000000001,-1027.6082371000002
1940,147.20162015399998,1735.6724194077997,12.31,206.03,1529.6424194077997,0.738043308989957,56.67069817193707,3.63118284,55.53999571999999,1.1307024519370756,13.0852,142.0769629,37.64,1194.2400000000002,-1052.1630371
1941,78.405040513,1814.0774599207996,12.68,218.71,1595.3674599207995,2.278425138808913,58.94912331074598,3.85926732,59.399263039999994,-0.4501397292540119,3.7727,145.8496629,39.02,1233.2600000000002,-1087.4103371
1942,103.77137713699999,1917.8488370577995,11.94,230.65,1687.1988370577994,0.1439840102827193,59.093107321028704,4.0873518,63.486614839999994,-4.39350751897129,1.2558,147.1054629,39.69,1272.9500000000003,-1125.8445371000003
1943,18.448244823,1936.2970818807996,12.85,243.5,1692.7970818807996,5.969118389687322,65.06222571071602,4.31543628,67.80205111999999,-2.7398254092839665,22.312500000000004,169.4179629,40.79,1313.7400000000002,-1144.3220371000002
1944,52.2700270046,1988.5671088853996,14.75,258.25,1730.3171088853996,6.735831962792062,71.79805767350808,4.54352076,72.34557188,-0.5475142064919112,18.959500000000002,188.37746289999998,39.16,1352.9000000000003,-1164.5225371000004
1945,80.326732663,2068.8938415483995,14.74,272.99,1795.9038415483994,0.33489574399989536,72.13295341750798,4.77160524,77.11717712,-4.984223702492017,0.4588,188.83626289999998,31.42,1384.3200000000004,-1195.4837371000003
1946,34.9747974777,2103.8686390260996,15.68,288.67,1815.1986390260995,1.0051095738668367,73.13806299137481,5.02698996,82.14416707999999,-9.006104088625179,0.6559,189.49216289999998,33.83,1418.1500000000003,-1228.6578371000003
1947,27.672367234499998,2131.5410062605997,17.27,305.94,1825.6010062605997,4.858819242235839,77.99688223361065,5.56156044,87.70572751999998,-9.708845286389334,12.4728,201.9649629,38.01,1456.1600000000003,-1254.1950371000003
1948,890.71844675,3022.2594530106,19.54,325.48,2696.7794530106,1.18081911298284,79.1777013465935,6.28766532,93.99339283999998,-14.81569149340649,13.4452,215.4101629,39.28,1495.4400000000003,-1280.0298371000003
1949,124.52565253999998,3146.7851055506,19.43,344.91,2801.8751055506,29.54809829408369,108.72579964067718,6.71871312,100.71210595999999,8.013693680677193,22.717,238.12716289999997,37.35,1532.7900000000002,-1294.6628371000002
1950,62.26282626999999,3209.0479318206,21.8,366.71000000000004,2842.3379318206,8.050022814691655,116.77582245536884,7.69188168,108.40398763999998,8.371834815368857,194.94739,433.07455289999996,40.8,1573.5900000000001,-1140.5154471
1951,270.958595834,3480.0065276545997,24.72,391.43000000000006,3088.5765276546,37.10893852834135,153.88476098371018,9.12423348,117.52822111999998,36.356539863710196,6.1175999999999995,439.19215289999994,42.98,1616.5700000000002,-1177.3778471000003
1952,46.889288929699994,3526.8958165842996,25.99,417.4200000000001,3109.4758165842995,14.77657157131184,168.66133255502203,9.82665612,127.35487723999998,41.30645531502205,27.9488,467.14095289999995,42.73,1659.3000000000002,-1192.1590471000002
1953,234.446444618,3761.3422612022996,27.48,444.9000000000001,3316.4422612022995,4.2592914490273435,172.92062400404936,10.390842,137.74571923999997,35.17490476404939,11.651484,478.7924368999999,42.92,1702.2200000000003,-1223.4275631000003
1954,107.614761498,3868.9570227002996,28.77,473.6700000000001,3395.2870227002995,2.5105858692659,175.43120987331525,10.89935316,148.64507239999998,26.78613747331528,19.6757,498.46813689999993,42.37,1744.5900000000001,-1246.1218631000002
1955,143.742574284,4012.6995969842997,32.24,505.9100000000001,3506.7895969842994,1.9874216296354748,177.41863150295072,11.8568268,160.50189919999997,16.91673230295075,51.52309999999999,549.9912368999999,46.04,1790.63,-1240.6387631000002
1956,169.87758776799998,4182.577184752299,35.09,541.0000000000001,3641.577184752299,25.63770072915908,203.0563322321098,12.85829928,173.36019847999998,29.69613375210983,46.503370000000004,596.4946068999999,48.65,1839.2800000000002,-1242.7853931000004
1957,241.36453647999997,4423.941721232299,36.97,577.9700000000001,3845.9717212322985,20.42659883875073,223.48293107086053,13.97057688,187.33077536,36.15215571086054,45.333,641.8276068999999,50.02,1889.3000000000002,-1247.4723931000003
1958,322.07560757299996,4746.017328805298,37.9,615.8700000000001,4130.1473288052985,8.48342822657129,231.9663592974318,15.0265692,202.35734456,29.609014737431806,88.4569,730.2845068999999,51.6,1940.9,-1210.6154931
1959,149.123312304,4895.1406411092985,40.9,656.7700000000001,4238.370641109298,10.44847965165788,242.4148389490897,16.7748336,219.13217816,23.282660789089704,15.5957,745.8802068999998,53.48,1994.38,-1248.4997931000003
1960,327.45634565399996,5222.596986763298,44.07,700.8400000000001,4521.756986763298,26.20037440559526,268.61521335468495,18.26036532,237.39254348,31.222669874684954,35.513400000000004,781.3936068999999,55.71,2050.09,-1268.6963931000003
1961,283.257425716,5505.854412479299,46.91,747.7500000000001,4758.104412479299,8.739711015278239,277.3549243699632,19.61796456,257.01050804,20.344416329963224,12.859969999999999,794.2535768999999,52.49,2102.58,-1308.3264231
1962,279.798379846,5785.652792325299,50.88,798.6300000000001,4987.022792325299,22.704033162488336,300.05895753245153,21.46318056,278.4736886,21.585268932451527,11.279900000000001,805.5334768999999,53.75,2156.33,-1350.7965231
1963,172.95229520799998,5958.6050875332985,54.59,853.2200000000001,5105.385087533298,6.564396349724783,306.62335388217633,23.4846144,301.958303,4.665050882176331,8.024000000000001,813.5574768999999,55.38,2211.71,-1398.1525231
1964,415.854185408,6374.459272941299,58.96,912.1800000000002,5462.279272941299,17.685272360381177,324.3086262425575,25.65938304,327.61768604,-3.309059797442501,35.394328,848.9518048999998,57.83,2269.54,-1420.5881951000001
