Fuel,Year,D_obs_EJ,D_backdated_EJ,D_added_EJ,D_hat_EJ,Cum_D_hat_EJ,Production,Cum_Prod_EJ,Reserves_hat_EJ,Reserves_EI
Gas,1922,1.1317478,1.7739630040447563,0.0,1.7739630040447563,56.20807489959505,0.0,0.0,56.20807489959505,
Gas,1923,0.18041580000000002,0.2826233452864955,0.0,0.2826233452864955,56.49069824488154,0.0,0.0,56.49069824488154,
Gas,1924,0.0438158,0.06859540630441636,0.0,0.06859540630441636,56.55929365118596,0.0,0.0,56.55929365118596,
Gas,1925,2.5089175,3.925305973347132,0.0,3.925305973347132,60.48459962453309,0.0,0.0,60.48459962453309,
Gas,1926,0.08105923,0.12673723788840882,0.0,0.12673723788840882,60.611336862421496,0.0,0.0,60.611336862421496,
Gas,1927,1.7809854999999999,2.782712315845193,0.0,2.782712315845193,63.39404917826669,0.0,0.0,63.39404917826669,
Gas,1928,84.4850115,131.91222096993596,0.0,131.91222096993596,195.30627014820266,0.0,0.0,195.30627014820266,
Gas,1929,0.6959820800000001,1.085905096922306,0.0,1.085905096922306,196.39217524512497,0.0,0.0,196.39217524512497,
Gas,1930,1.304927,2.0345071325712154,0.0,2.0345071325712154,198.42668237769618,0.0,0.0,198.42668237769618,
Gas,1931,0.12947580000000003,0.20171177101467294,0.0,0.20171177101467294,198.62839414871087,0.0,0.0,198.62839414871087,
Gas,1932,3.2008606,4.982751198652406,0.0,4.982751198652406,203.61114534736328,0.0,0.0,203.61114534736328,
Gas,1933,5.423403483571884,8.435756224020034,0.0,8.435756224020034,212.0469015713833,0.0,0.0,212.0469015713833,
Gas,1934,0.0,0.0,0.0,0.0,212.0469015713833,0.0,0.0,212.0469015713833,
Gas,1935,0.13284906000000002,0.20629003525112743,0.0,0.20629003525112743,212.25319160663443,0.0,0.0,212.25319160663443,
Gas,1936,2.51732943,3.9055046642244347,0.0,3.9055046642244347,216.15869627085885,0.0,0.0,216.15869627085885,
Gas,1937,2.64731689,4.103448039753533,0.0,4.103448039753533,220.2621443106124,0.0,0.0,220.2621443106124,
Gas,1938,98.3810456836496,152.35213572196847,0.0,152.35213572196847,372.61428003258084,0.0,0.0,372.61428003258084,
Gas,1939,3.4620477732980275,5.356142371839894,0.0,5.356142371839894,377.97042240442073,0.0,0.0,377.97042240442073,
Gas,1940,1.3470760800000001,2.0819993370583654,0.0,2.0819993370583654,380.0524217414791,0.0,0.0,380.0524217414791,
Gas,1941,2.22759342,3.439385603016968,0.0,3.439385603016968,383.49180734449607,0.0,0.0,383.49180734449607,
Gas,1942,0.27271083,0.4206205432064248,0.0,0.4206205432064248,383.9124278877025,0.0,0.0,383.9124278877025,
Gas,1943,3.04740868,4.695136294243769,0.0,4.695136294243769,388.60756418194626,0.0,0.0,388.60756418194626,
Gas,1944,4.2742962722235,6.5780529063540625,0.0,6.5780529063540625,395.1856170883003,0.0,0.0,395.1856170883003,
